,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
34420,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 5,2025-05-31 00:00:00.0000000,49.5591,14.3271,60,0
34421,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 1,2025-05-03 00:00:00.0000000,8.8373,3.7418,459,0
34422,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 3,2025-06-21 00:00:00.0000000,24.3047,14.0831,37,0
34423,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 4,2025-06-28 00:00:00.0000000,8.0776,4.1278,411,0
34424,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 3,2025-05-17 00:00:00.0000000,25.4189,2.7847,2161,0
34425,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,6.8572,3.3428,418,0
34426,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 4,2025-05-24 00:00:00.0000000,25.4189,2.7847,2161,0
34427,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 2,2025-05-10 00:00:00.0000000,3.7927,2.0192,517,0
34428,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 5,2025-05-31 00:00:00.0000000,25.4189,2.7847,2161,0
34429,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 4,2025-05-24 00:00:00.0000000,7.1113,3.4207,538,0
34430,COVID,State,Massachusetts,Overall,6 months-17 years,Up-to-date,Yes,May Week 4,2025-05-24 00:00:00.0000000,25.4189,2.7847,2161,0
34431,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,5.3034,2.1734,639,0
34432,COVID,State,Massachusetts,Overall,6 months-17 years,Up-to-date,Yes,May Week 5,2025-05-31 00:00:00.0000000,25.4189,2.7847,2161,0
34433,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 5,2025-05-31 00:00:00.0000000,7.9284,3.9813,312,0
34434,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 2,2025-06-14 00:00:00.0000000,50.6595,18.7996,59,0
34435,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 4,2025-05-24 00:00:00.0000000,8.1735,2.9106,696,0
34436,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 1,2025-05-03 00:00:00.0000000,38.2181,23.3406,48,0
34437,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 1,2025-06-07 00:00:00.0000000,19.1353,5.2763,371,0
34438,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 2,2025-06-14 00:00:00.0000000,5.2182,7.3021,59,0
34439,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 5,2025-05-31 00:00:00.0000000,5.3499,2.3049,547,0
34440,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 1,2025-05-03 00:00:00.0000000,9.0068,16.2912,48,0
34441,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 3,2025-06-21 00:00:00.0000000,28.5373,7.5701,284,0
34442,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,5.3105,8.832,47,0
